Answer.INTERFACE,Answer.MECHANISM,Answer.question0,Answer.question1,Answer.question10,Answer.question11,Answer.question12,Answer.question13,Answer.question14,Answer.question15,Answer.question2,Answer.question3,Answer.question4,Answer.question5,Answer.question6,Answer.question7,Answer.question8,Answer.question9,Answer.trueAnswer0,Answer.trueAnswer1,Answer.trueAnswer10,Answer.trueAnswer11,Answer.trueAnswer12,Answer.trueAnswer13,Answer.trueAnswer14,Answer.trueAnswer15,Answer.trueAnswer2,Answer.trueAnswer3,Answer.trueAnswer4,Answer.trueAnswer5,Answer.trueAnswer6,Answer.trueAnswer7,Answer.trueAnswer8,Answer.trueAnswer9,Answer.answer0,Answer.answer1,Answer.answer10,Answer.answer11,Answer.answer12,Answer.answer13,Answer.answer14,Answer.answer15,Answer.answer2,Answer.answer3,Answer.answer4,Answer.answer5,Answer.answer6,Answer.answer7,Answer.answer8,Answer.answer9,Answer.comments
single-skip,multiplicative,1.1.01,1.4.12,1.4.03,1.4.02,1.1.07,1.1.12,1.5.04,1.4.11,1.4.10,1.4.08,1.1.09,1.5.05,1.4.01,1.1.05,1.5.07,1.5.06,Grass,Sand,Wood,Wood,Sand,Brick,Sand,Sand,Grass,Brick,Wood,Gravel,Brick,Cloth,Grass,Brick,Grass,Sand,Brick,Brick,Sand,Brick,Sand,Skip,Grass,Brick,Wood,Gravel,Brick,Skip,Grass,Brick,Interesting study
single-skip,multiplicative,1.4.11,1.5.07,1.1.01,1.1.12,1.1.09,1.4.01,1.5.04,1.1.05,1.4.02,1.4.12,1.5.06,1.5.05,1.4.08,1.1.07,1.4.10,1.4.03,Sand,Grass,Grass,Brick,Wood,Brick,Sand,Cloth,Wood,Sand,Brick,Gravel,Brick,Sand,Grass,Wood,Sand,Grass,Grass,Brick,Brick,Brick,Sand,Cloth,Brick,Sand,Brick,Gravel,Brick,Sand,Grass,Brick,
subset,none,1.4.03,1.4.02,1.5.05,1.4.10,1.1.07,1.4.08,1.1.12,1.5.07,1.1.01,1.1.09,1.5.04,1.4.11,1.1.05,1.5.06,1.4.12,1.4.01,Wood,Wood,Gravel,Grass,Sand,Brick,Brick,Grass,Grass,Wood,Sand,Sand,Cloth,Brick,Sand,Brick,Wood|Cloth,Wood|Cloth,Gravel,Grass,Grass|Sand|Gravel|Cloth,Brick|Gravel|Cloth,Brick,Grass,Grass,Wood|Cloth,Grass|Sand|Gravel|Cloth,Sand|Cloth,Sand|Gravel|Cloth,Brick|Gravel|Cloth,Grass|Cloth,Brick|Cloth,Thank you.
single-skip,multiplicative,1.4.12,1.4.02,1.4.03,1.1.07,1.4.10,1.4.01,1.5.04,1.5.07,1.1.09,1.5.05,1.1.05,1.1.01,1.5.06,1.4.11,1.1.12,1.4.08,Sand,Wood,Wood,Sand,Grass,Brick,Sand,Grass,Wood,Gravel,Cloth,Grass,Brick,Sand,Brick,Brick,Skip,Brick,Brick,Skip,Grass,Brick,Gravel,Grass,Wood,Gravel,Cloth,Grass,Brick,Skip,Brick,Brick,
single-skip,multiplicative,1.4.02,1.4.03,1.4.12,1.4.10,1.5.06,1.4.11,1.1.12,1.1.05,1.5.07,1.5.05,1.5.04,1.1.07,1.1.09,1.1.01,1.4.08,1.4.01,Wood,Wood,Sand,Grass,Brick,Sand,Brick,Cloth,Grass,Gravel,Sand,Sand,Wood,Grass,Brick,Brick,Wood,Wood,Sand,Grass,Brick,Sand,Brick,Cloth,Grass,Gravel,Sand,Gravel,Cloth,Grass,Brick,Brick,very nice
single-noskip,additive,1.4.02,1.5.04,1.1.09,1.4.10,1.5.06,1.5.07,1.1.07,1.4.11,1.4.08,1.4.12,1.1.12,1.1.01,1.4.03,1.4.01,1.5.05,1.1.05,Wood,Sand,Wood,Grass,Brick,Grass,Sand,Sand,Brick,Sand,Brick,Grass,Wood,Brick,Gravel,Cloth,Wood,Sand,Wood,Grass,Brick,Grass,Sand,Sand,Brick,Sand,Brick,Grass,Wood,Brick,Gravel,Cloth,"Well, some of the images were of roof shingles (I think?), so I'm assuming that they would fall under ""Wood"", since they are not technically ""Brick"" (even though they are brick-like in terms of being stacked over one another) or any of the other categories. I hope that made sense. This was an interesting HIT, thank you."
subset,multiplicative,1.4.10,1.5.05,1.1.09,1.4.11,1.4.01,1.1.07,1.1.01,1.1.05,1.5.06,1.4.03,1.4.02,1.5.04,1.4.12,1.1.12,1.5.07,1.4.08,Grass,Gravel,Wood,Sand,Brick,Sand,Grass,Cloth,Brick,Wood,Wood,Sand,Sand,Brick,Grass,Brick,Sand|Gravel,Gravel,Gravel,Gravel,Brick,Gravel,Grass,Wood|Gravel,Wood|Gravel|Brick,Wood|Gravel,Wood|Gravel,Sand|Gravel,Gravel,Gravel|Brick,Grass,Brick,
subset,none,1.1.05,1.1.12,1.5.04,1.5.07,1.5.06,1.5.05,1.4.11,1.4.12,1.1.01,1.1.07,1.4.02,1.1.09,1.4.08,1.4.10,1.4.03,1.4.01,Cloth,Brick,Sand,Grass,Brick,Gravel,Sand,Sand,Grass,Sand,Wood,Wood,Brick,Grass,Wood,Brick,Sand|Brick|Cloth,Brick|Gravel|Wood,Sand|Gravel|Grass,Sand|Gravel|Grass,Brick|Wood|Cloth,Sand|Brick|Gravel,Sand|Gravel|Cloth,Sand|Gravel|Grass,Sand|Grass|Cloth,Sand|Gravel|Cloth,Brick|Gravel|Wood,Grass|Wood|Cloth,Gravel|Wood|Cloth,Gravel|Grass|Cloth,Brick|Wood|Cloth,Brick|Wood|Cloth,
single-noskip,additive,1.1.12,1.1.07,1.5.06,1.1.01,1.4.11,1.4.03,1.1.05,1.5.07,1.4.02,1.4.08,1.4.01,1.4.10,1.4.12,1.5.05,1.1.09,1.5.04,Brick,Sand,Brick,Grass,Sand,Wood,Cloth,Grass,Wood,Brick,Brick,Grass,Sand,Gravel,Wood,Sand,Brick,Sand,Brick,Grass,Wood,Brick,Brick,Grass,Brick,Brick,Brick,Grass,Sand,Gravel,Brick,Sand,
subset,none,1.1.01,1.5.04,1.4.12,1.4.08,1.1.07,1.4.03,1.5.05,1.1.05,1.4.02,1.5.06,1.5.07,1.4.11,1.1.12,1.1.09,1.4.10,1.4.01,Grass,Sand,Sand,Brick,Sand,Wood,Gravel,Cloth,Wood,Brick,Grass,Sand,Brick,Wood,Grass,Brick,Gravel|Cloth|Sand|Brick,Gravel|Cloth|Grass|Sand|Brick,Gravel|Wood|Sand,Gravel|Sand|Brick,Gravel|Wood|Grass|Sand,Gravel|Sand|Brick,Gravel|Cloth|Wood|Grass|Brick,Gravel|Cloth|Grass|Brick,Gravel|Wood|Sand|Brick,Gravel|Wood|Sand|Brick,Gravel|Cloth|Grass,Gravel|Cloth|Grass|Sand,Gravel|Wood|Brick,Cloth|Grass|Sand,Grass,Gravel|Sand|Brick,Thank you for allowing me to participate.  I felt that it was hard to choose between the choices sometimes and felt that many of them did not fit the criteria for the choices.
subset,multiplicative,1.1.07,1.4.08,1.5.04,1.1.01,1.1.05,1.4.03,1.4.10,1.5.05,1.1.12,1.4.01,1.1.09,1.4.02,1.4.12,1.5.07,1.4.11,1.5.06,Sand,Brick,Sand,Grass,Cloth,Wood,Grass,Gravel,Brick,Brick,Wood,Wood,Sand,Grass,Sand,Brick,Sand|Gravel|Brick,Brick|Cloth,Sand|Gravel|Cloth,Grass,Cloth,Wood,Grass,Sand|Gravel,Brick,Brick,Cloth|Wood,Brick,Sand|Gravel|Cloth,Grass,Sand|Gravel|Cloth,Brick,
subset,none,1.1.09,1.4.03,1.5.04,1.1.12,1.5.07,1.4.01,1.4.08,1.4.10,1.5.05,1.5.06,1.4.12,1.4.11,1.1.01,1.1.05,1.1.07,1.4.02,Wood,Wood,Sand,Brick,Grass,Brick,Brick,Grass,Gravel,Brick,Sand,Sand,Grass,Cloth,Sand,Wood,Wood|Cloth,Brick|Gravel,Grass|Sand,Brick,Grass,Brick,Brick,Grass,Gravel|Sand,Brick,Gravel|Sand,Gravel|Sand,Grass|Gravel,Cloth,Sand|Cloth,Brick,
single-noskip,additive,1.4.01,1.1.07,1.4.12,1.5.05,1.4.10,1.1.01,1.4.02,1.5.06,1.1.12,1.1.05,1.4.11,1.4.08,1.5.04,1.5.07,1.1.09,1.4.03,Brick,Sand,Sand,Gravel,Grass,Grass,Wood,Brick,Brick,Cloth,Sand,Brick,Sand,Grass,Wood,Wood,Brick,Sand,Cloth,Gravel,Grass,Grass,Brick,Brick,Brick,Brick,Gravel,Brick,Sand,Grass,Wood,Brick,thanks for the survey
single-noskip,additive,1.1.05,1.5.04,1.4.11,1.4.02,1.1.12,1.4.01,1.4.03,1.1.07,1.1.09,1.5.05,1.5.07,1.5.06,1.4.10,1.4.08,1.4.12,1.1.01,Cloth,Sand,Sand,Wood,Brick,Brick,Wood,Sand,Wood,Gravel,Grass,Brick,Grass,Brick,Sand,Grass,Cloth,Sand,Sand,Wood,Brick,Brick,Wood,Grass,Wood,Gravel,Grass,Brick,Grass,Brick,Sand,Grass,Interesting Study. Thank You!
single-noskip,additive,1.1.01,1.1.05,1.4.02,1.4.11,1.4.01,1.5.07,1.1.07,1.1.09,1.1.12,1.5.04,1.4.08,1.5.06,1.4.03,1.4.12,1.5.05,1.4.10,Grass,Cloth,Wood,Sand,Brick,Grass,Sand,Wood,Brick,Sand,Brick,Brick,Wood,Sand,Gravel,Grass,Grass,Cloth,Wood,Sand,Brick,Grass,Brick,Wood,Brick,Sand,Brick,Brick,Wood,Sand,Gravel,Grass,
subset,multiplicative,1.4.11,1.1.05,1.5.04,1.4.12,1.1.07,1.4.01,1.4.02,1.1.01,1.5.07,1.1.09,1.4.08,1.4.10,1.1.12,1.5.05,1.5.06,1.4.03,Sand,Cloth,Sand,Sand,Sand,Brick,Wood,Grass,Grass,Wood,Brick,Grass,Brick,Gravel,Brick,Wood,Sand,Cloth,Sand,Sand,Sand,Brick,Brick,Grass,Grass,Wood,Brick,Grass,Brick,Gravel,Brick,Brick,Good survey
subset,multiplicative,1.1.05,1.4.01,1.5.05,1.4.12,1.4.10,1.4.02,1.4.08,1.5.06,1.1.12,1.1.07,1.4.03,1.5.07,1.1.01,1.1.09,1.5.04,1.4.11,Cloth,Brick,Gravel,Sand,Grass,Wood,Brick,Brick,Brick,Sand,Wood,Grass,Grass,Wood,Sand,Sand,Grass|Cloth|Brick,Wood|Brick|Sand,Gravel|Brick|Sand,Wood|Sand,Gravel|Grass,Wood|Brick|Sand,Wood|Cloth|Brick|Sand,Wood|Brick|Sand,Wood|Brick|Sand,Brick|Sand,Wood|Brick|Sand,Gravel|Grass,Gravel|Grass,Wood|Cloth,Brick|Sand,Wood|Sand,No
subset,multiplicative,1.1.09,1.5.04,1.4.03,1.4.02,1.1.01,1.4.01,1.1.12,1.5.05,1.5.06,1.4.08,1.1.05,1.4.12,1.5.07,1.4.11,1.1.07,1.4.10,Wood,Sand,Wood,Wood,Grass,Brick,Brick,Gravel,Brick,Brick,Cloth,Sand,Grass,Sand,Sand,Grass,Cloth,Gravel|Sand,Brick,Brick,Grass,Brick,Brick,Gravel,Brick,Wood|Brick,Cloth,Gravel|Sand,Grass,Gravel|Sand,Gravel|Sand,Grass,INTERESTING TASK
single-skip,multiplicative,1.4.08,1.5.06,1.4.01,1.1.09,1.4.03,1.4.10,1.4.12,1.4.02,1.5.07,1.1.12,1.5.04,1.5.05,1.4.11,1.1.05,1.1.07,1.1.01,Brick,Brick,Brick,Wood,Wood,Grass,Sand,Wood,Grass,Brick,Sand,Gravel,Sand,Cloth,Sand,Grass,Wood,Brick,Brick,Wood,Brick,Grass,Sand,Brick,Grass,Brick,Grass,Gravel,Sand,Cloth,Sand,Grass,Very nice
subset,multiplicative,1.1.07,1.1.05,1.4.08,1.4.12,1.5.05,1.1.01,1.4.11,1.4.02,1.4.10,1.1.09,1.5.06,1.1.12,1.5.04,1.4.01,1.5.07,1.4.03,Sand,Cloth,Brick,Sand,Gravel,Grass,Sand,Wood,Grass,Wood,Brick,Brick,Sand,Brick,Grass,Wood,Sand,Cloth,Brick,Cloth,Gravel,Grass,Cloth,Wood,Grass,Cloth|Wood,Brick,Brick,Cloth|Sand,Brick,Grass,Wood,
single-noskip,additive,1.1.09,1.5.05,1.4.01,1.1.07,1.5.07,1.5.06,1.1.05,1.4.10,1.1.12,1.4.02,1.4.08,1.4.03,1.1.01,1.4.11,1.4.12,1.5.04,Wood,Gravel,Brick,Sand,Grass,Brick,Cloth,Grass,Brick,Wood,Brick,Wood,Grass,Sand,Sand,Sand,Wood,Gravel,Brick,Gravel,Grass,Brick,Gravel,Grass,Brick,Brick,Cloth,Brick,Grass,Sand,Sand,Gravel,Nothing thanks
subset,multiplicative,1.1.01,1.4.02,1.4.10,1.4.12,1.4.03,1.4.08,1.5.06,1.4.11,1.4.01,1.5.04,1.1.07,1.5.07,1.1.09,1.1.12,1.1.05,1.5.05,Grass,Wood,Grass,Sand,Wood,Brick,Brick,Sand,Brick,Sand,Sand,Grass,Wood,Brick,Cloth,Gravel,Cloth|Grass|Wood,Brick|Wood,Grass,Brick,Brick|Wood,Brick,Brick,Brick,Brick,Cloth|Brick|Sand,Brick,Grass,Cloth|Wood,Brick,Cloth,Gravel,
subset,multiplicative,1.4.10,1.5.05,1.1.07,1.5.06,1.4.08,1.5.07,1.1.01,1.4.12,1.4.11,1.4.03,1.1.05,1.1.12,1.5.04,1.1.09,1.4.01,1.4.02,Grass,Gravel,Sand,Brick,Brick,Grass,Grass,Sand,Sand,Wood,Cloth,Brick,Sand,Wood,Brick,Wood,Grass,Gravel,Grass,Wood|Brick,Wood|Brick|Cloth,Grass,Grass,Sand|Wood|Grass|Cloth,Sand|Grass,Gravel|Wood|Brick,Wood|Brick|Cloth,Brick,Gravel|Grass,Wood|Grass|Cloth,Wood|Brick|Cloth,Brick,if all figures in colour images then it will be good
subset,none,1.5.05,1.1.09,1.5.04,1.4.11,1.4.03,1.4.10,1.1.12,1.4.12,1.4.01,1.1.05,1.5.06,1.4.02,1.1.07,1.1.01,1.4.08,1.5.07,Gravel,Wood,Sand,Sand,Wood,Grass,Brick,Sand,Brick,Cloth,Brick,Wood,Sand,Grass,Brick,Grass,Brick|Wood|Gravel,Brick|Wood,Grass|Sand|Cloth|Gravel,Sand|Cloth|Wood|Gravel,Brick|Wood,Grass|Gravel,Brick,Grass|Sand|Cloth|Gravel,Brick,Cloth,Brick|Wood,Brick,Grass|Sand|Cloth|Gravel,Grass|Sand|Cloth|Gravel,Brick,Grass,
single-noskip,additive,1.4.12,1.4.11,1.4.10,1.4.08,1.5.04,1.5.05,1.5.07,1.1.01,1.4.03,1.5.06,1.1.05,1.4.02,1.1.12,1.1.07,1.4.01,1.1.09,Sand,Sand,Grass,Brick,Sand,Gravel,Grass,Grass,Wood,Brick,Cloth,Wood,Brick,Sand,Brick,Wood,Sand,Sand,Grass,Gravel,Sand,Gravel,Grass,Grass,Gravel,Gravel,Cloth,Gravel,Gravel,Sand,Gravel,Wood,Thank you for this task.
subset,multiplicative,1.5.05,1.5.04,1.1.09,1.4.01,1.1.07,1.1.12,1.4.10,1.4.02,1.4.11,1.1.01,1.1.05,1.4.08,1.4.03,1.4.12,1.5.06,1.5.07,Gravel,Sand,Wood,Brick,Sand,Brick,Grass,Wood,Sand,Grass,Cloth,Brick,Wood,Sand,Brick,Grass,Gravel,Sand,Cloth,Brick,Gravel,Brick,Grass,Wood,Sand,Grass,Cloth,Brick,Wood,Sand,Brick,Grass,
single-noskip,additive,1.1.09,1.4.10,1.1.07,1.4.02,1.4.03,1.4.01,1.5.06,1.5.04,1.1.12,1.4.08,1.4.11,1.5.07,1.5.05,1.1.01,1.1.05,1.4.12,Wood,Grass,Sand,Wood,Wood,Brick,Brick,Sand,Brick,Brick,Sand,Grass,Gravel,Grass,Cloth,Sand,Wood,Grass,Sand,Brick,Brick,Brick,Brick,Sand,Brick,Brick,Sand,Grass,Gravel,Grass,Brick,Sand,
single-skip,multiplicative,1.1.01,1.5.05,1.4.12,1.4.02,1.1.12,1.1.09,1.5.07,1.5.04,1.4.03,1.1.07,1.4.10,1.4.01,1.4.08,1.5.06,1.4.11,1.1.05,Grass,Gravel,Sand,Wood,Brick,Wood,Grass,Sand,Wood,Sand,Grass,Brick,Brick,Brick,Sand,Cloth,Grass,Gravel,Sand,Brick,Brick,Wood,Grass,Skip,Brick,Sand,Grass,Brick,Skip,Brick,Sand,Skip,
subset,multiplicative,1.1.05,1.5.05,1.5.04,1.4.03,1.4.01,1.1.12,1.4.11,1.4.12,1.1.07,1.4.08,1.1.01,1.1.09,1.5.07,1.5.06,1.4.02,1.4.10,Cloth,Gravel,Sand,Wood,Brick,Brick,Sand,Sand,Sand,Brick,Grass,Wood,Grass,Brick,Wood,Grass,Cloth|Brick,Gravel|Sand|Brick,Sand,Gravel|Brick,Cloth|Brick,Brick,Cloth|Sand,Cloth|Gravel|Sand,Grass|Gravel|Sand,Cloth|Gravel|Brick,Cloth|Grass,Cloth|Gravel|Wood,Grass,Cloth|Brick,Gravel|Brick,Cloth|Grass,This task was easy and interesting.
single-noskip,additive,1.4.12,1.4.10,1.1.01,1.4.01,1.1.05,1.4.08,1.4.02,1.5.06,1.5.07,1.1.12,1.1.09,1.5.04,1.1.07,1.4.03,1.5.05,1.4.11,Sand,Grass,Grass,Brick,Cloth,Brick,Wood,Brick,Grass,Brick,Wood,Sand,Sand,Wood,Gravel,Sand,Sand,Grass,Grass,Brick,Wood,Brick,Brick,Brick,Grass,Brick,Wood,Gravel,Gravel,Brick,Gravel,Sand,Intelligent piece of work feeling very proud to take this work. Thanks for the opportunity given to e.
subset,multiplicative,1.4.02,1.4.11,1.4.01,1.1.07,1.1.05,1.5.07,1.4.08,1.5.06,1.4.10,1.1.01,1.4.12,1.5.05,1.4.03,1.5.04,1.1.09,1.1.12,Wood,Sand,Brick,Sand,Cloth,Grass,Brick,Brick,Grass,Grass,Sand,Gravel,Wood,Sand,Wood,Brick,Brick,Cloth|Sand|Gravel,Gravel|Brick,Sand,Cloth|Grass,Grass,Gravel|Brick|Wood,Gravel|Brick|Wood,Grass,Grass,Cloth|Sand|Gravel,Gravel,Brick|Wood,Sand|Gravel,Wood,Brick,I Love this.
single-noskip,additive,1.1.09,1.4.01,1.4.02,1.5.05,1.5.07,1.4.11,1.4.03,1.5.06,1.4.12,1.1.05,1.1.07,1.5.04,1.4.10,1.1.01,1.4.08,1.1.12,Wood,Brick,Wood,Gravel,Grass,Sand,Wood,Brick,Sand,Cloth,Sand,Sand,Grass,Grass,Brick,Brick,Wood,Brick,Brick,Gravel,Grass,Sand,Brick,Brick,Sand,Cloth,Sand,Sand,Grass,Grass,Brick,Brick,
subset,multiplicative,1.1.09,1.4.01,1.5.06,1.1.12,1.4.10,1.5.04,1.4.03,1.5.05,1.4.12,1.1.05,1.4.02,1.4.08,1.1.07,1.4.11,1.5.07,1.1.01,Wood,Brick,Brick,Brick,Grass,Sand,Wood,Gravel,Sand,Cloth,Wood,Brick,Sand,Sand,Grass,Grass,Cloth|Wood|Brick,Brick,Cloth|Wood|Brick,Wood|Brick,Grass,Sand|Cloth|Wood|Brick,Wood,Sand|Gravel,Sand|Cloth|Wood|Brick,Cloth|Brick,Wood,Cloth|Brick,Sand|Cloth|Gravel|Wood|Brick,Sand|Cloth|Gravel|Wood|Brick,Cloth|Grass,Sand|Cloth|Grass|Wood,
single-skip,multiplicative,1.5.05,1.4.03,1.4.10,1.5.04,1.4.12,1.1.05,1.5.06,1.1.09,1.4.08,1.1.01,1.4.11,1.5.07,1.1.07,1.4.02,1.4.01,1.1.12,Gravel,Wood,Grass,Sand,Sand,Cloth,Brick,Wood,Brick,Grass,Sand,Grass,Sand,Wood,Brick,Brick,Gravel,Brick,Grass,Skip,Skip,Skip,Brick,Skip,Skip,Skip,Sand,Grass,Gravel,Brick,Brick,Brick,
single-skip,multiplicative,1.4.11,1.1.09,1.1.12,1.4.03,1.1.07,1.4.08,1.4.12,1.4.10,1.1.01,1.4.02,1.5.05,1.5.04,1.4.01,1.5.06,1.1.05,1.5.07,Sand,Wood,Brick,Wood,Sand,Brick,Sand,Grass,Grass,Wood,Gravel,Sand,Brick,Brick,Cloth,Grass,Skip,Wood,Brick,Brick,Skip,Brick,Skip,Grass,Grass,Brick,Gravel,Skip,Brick,Brick,Cloth,Grass,
subset,multiplicative,1.5.05,1.4.10,1.5.07,1.1.09,1.4.01,1.4.08,1.4.12,1.1.12,1.1.07,1.4.11,1.4.03,1.5.06,1.5.04,1.4.02,1.1.05,1.1.01,Gravel,Grass,Grass,Wood,Brick,Brick,Sand,Brick,Sand,Sand,Wood,Brick,Sand,Wood,Cloth,Grass,Gravel,Grass,Grass,Wood|Brick|Sand|Cloth,Brick,Brick,Gravel|Sand|Grass,Brick,Gravel|Sand|Grass,Gravel|Sand,Wood|Brick,Brick,Gravel|Sand|Grass,Wood|Brick,Gravel|Sand|Grass|Cloth,Grass,Thank You.Enjoyed the task
subset,multiplicative,1.4.08,1.4.12,1.1.05,1.5.06,1.4.02,1.5.07,1.4.10,1.4.01,1.1.01,1.4.03,1.5.05,1.4.11,1.1.07,1.1.12,1.5.04,1.1.09,Brick,Sand,Cloth,Brick,Wood,Grass,Grass,Brick,Grass,Wood,Gravel,Sand,Sand,Brick,Sand,Wood,Brick,Gravel|Sand,Cloth,Brick,Brick,Grass,Grass,Brick,Cloth|Grass,Brick,Gravel|Sand,Gravel|Sand,Gravel|Sand,Brick,Gravel|Sand,Wood,
subset,none,1.4.12,1.4.01,1.4.10,1.4.11,1.1.01,1.4.02,1.1.07,1.4.08,1.5.06,1.5.05,1.1.09,1.1.12,1.5.04,1.4.03,1.1.05,1.5.07,Sand,Brick,Grass,Sand,Grass,Wood,Sand,Brick,Brick,Gravel,Wood,Brick,Sand,Wood,Cloth,Grass,Sand|Cloth|Gravel,Brick,Grass|Cloth|Gravel,Brick|Sand|Cloth|Gravel,Grass|Sand|Cloth|Gravel|Wood,Brick,Sand|Cloth|Gravel,Brick|Sand|Cloth|Wood,Brick|Cloth|Wood,Sand|Cloth|Gravel|Wood,Grass|Cloth|Gravel|Wood,Brick,Sand|Cloth|Gravel,Brick|Wood,Sand|Cloth|Gravel|Wood,Grass|Gravel,
single-skip,multiplicative,1.4.03,1.4.08,1.1.09,1.4.12,1.1.05,1.5.05,1.4.11,1.1.07,1.5.07,1.4.10,1.4.02,1.5.04,1.1.01,1.1.12,1.4.01,1.5.06,Wood,Brick,Wood,Sand,Cloth,Gravel,Sand,Sand,Grass,Grass,Wood,Sand,Grass,Brick,Brick,Brick,Brick,Brick,Skip,Skip,Cloth,Gravel,Skip,Skip,Grass,Grass,Brick,Skip,Grass,Brick,Brick,Brick,
subset,multiplicative,1.4.08,1.4.12,1.5.05,1.5.04,1.5.07,1.1.12,1.4.03,1.4.01,1.1.05,1.5.06,1.1.09,1.4.10,1.4.11,1.1.07,1.1.01,1.4.02,Brick,Sand,Gravel,Sand,Grass,Brick,Wood,Brick,Cloth,Brick,Wood,Grass,Sand,Sand,Grass,Wood,Brick|Cloth|Sand|Gravel,Wood|Cloth|Sand|Gravel,Cloth|Sand|Gravel,Cloth|Sand|Grass|Gravel,Wood|Grass,Brick|Cloth,Brick|Wood|Cloth,Brick,Brick|Wood|Cloth|Sand|Grass|Gravel,Brick|Wood|Cloth|Sand,Wood|Cloth,Wood|Cloth|Grass,Wood|Sand|Gravel,Wood|Sand|Gravel,Sand|Grass|Gravel,Brick|Wood,Thank you
subset,none,1.1.07,1.4.11,1.5.06,1.1.12,1.5.05,1.5.07,1.4.01,1.4.10,1.5.04,1.1.05,1.4.08,1.4.02,1.1.09,1.1.01,1.4.12,1.4.03,Sand,Sand,Brick,Brick,Gravel,Grass,Brick,Grass,Sand,Cloth,Brick,Wood,Wood,Grass,Sand,Wood,Sand|Cloth|Wood|Gravel|Brick,Sand|Cloth|Wood|Brick,Sand|Cloth|Wood|Gravel|Brick,Sand|Cloth|Wood|Gravel|Brick,Sand|Wood|Gravel|Brick,Grass|Cloth|Gravel,Sand|Cloth|Wood|Gravel|Brick,Grass|Sand|Cloth|Gravel,Sand|Wood|Gravel|Brick,Grass|Sand|Cloth|Gravel|Brick,Cloth|Wood|Brick,Wood|Gravel|Brick,Sand|Cloth|Wood|Gravel|Brick,Grass|Wood|Gravel,Sand|Cloth|Wood|Gravel|Brick,Wood|Gravel|Brick,good hit and easy instructions to follow
subset,multiplicative,1.1.07,1.4.08,1.1.12,1.4.01,1.4.03,1.1.05,1.1.01,1.5.06,1.5.05,1.4.11,1.4.12,1.5.04,1.4.02,1.4.10,1.5.07,1.1.09,Sand,Brick,Brick,Brick,Wood,Cloth,Grass,Brick,Gravel,Sand,Sand,Sand,Wood,Grass,Grass,Wood,Sand|Gravel|Wood,Sand|Cloth|Brick,Wood|Brick,Sand|Wood|Brick,Gravel|Brick,Sand|Brick,Grass,Sand|Brick,Sand|Grass|Gravel,Sand,Sand,Sand|Gravel,Sand|Gravel|Wood,Grass,Grass,Sand|Gravel|Wood,Very Interesting Study.
subset,none,1.5.05,1.4.01,1.4.11,1.4.02,1.4.08,1.1.07,1.1.05,1.5.07,1.1.09,1.1.12,1.4.03,1.5.04,1.1.01,1.5.06,1.4.12,1.4.10,Gravel,Brick,Sand,Wood,Brick,Sand,Cloth,Grass,Wood,Brick,Wood,Sand,Grass,Brick,Sand,Grass,Gravel,Brick,Sand,Wood|Brick,Brick,Gravel|Sand,Cloth,Grass,Wood,Brick,Wood|Brick,Sand,Grass,Brick,Gravel|Sand,Grass,
single-noskip,additive,1.1.05,1.5.05,1.4.01,1.1.12,1.5.04,1.4.10,1.1.01,1.5.07,1.4.08,1.4.11,1.1.09,1.1.07,1.5.06,1.4.12,1.4.02,1.4.03,Cloth,Gravel,Brick,Brick,Sand,Grass,Grass,Grass,Brick,Sand,Wood,Sand,Brick,Sand,Wood,Wood,Brick,Gravel,Brick,Brick,Sand,Grass,Grass,Grass,Brick,Sand,Wood,Cloth,Brick,Sand,Brick,Wood,
subset,none,1.1.07,1.4.08,1.4.12,1.4.01,1.5.06,1.5.04,1.4.10,1.1.01,1.5.07,1.5.05,1.4.03,1.1.05,1.4.02,1.1.12,1.1.09,1.4.11,Sand,Brick,Sand,Brick,Brick,Sand,Grass,Grass,Grass,Gravel,Wood,Cloth,Wood,Brick,Wood,Sand,Gravel|Grass|Sand,Wood|Gravel|Cloth,Wood|Gravel|Cloth,Wood|Cloth|Brick,Wood|Cloth|Brick,Gravel|Cloth|Sand,Grass,Grass,Grass,Gravel|Sand,Wood|Brick,Wood|Gravel|Cloth,Brick,Wood|Brick,Wood|Cloth,Wood|Gravel|Sand,nothing
subset,none,1.1.09,1.4.11,1.1.01,1.5.06,1.4.10,1.1.07,1.4.02,1.5.05,1.1.05,1.4.03,1.4.08,1.5.04,1.4.01,1.5.07,1.1.12,1.4.12,Wood,Sand,Grass,Brick,Grass,Sand,Wood,Gravel,Cloth,Wood,Brick,Sand,Brick,Grass,Brick,Sand,Wood|Cloth,Gravel|Wood|Cloth|Sand,Cloth|Grass|Sand,Brick,Cloth|Grass,Cloth|Grass|Sand,Brick,Gravel|Wood|Sand,Gravel|Cloth|Sand,Wood|Brick,Wood|Brick,Gravel|Wood|Cloth|Sand,Wood|Brick,Grass,Brick,Gravel|Wood|Cloth|Sand,
