Answer.INTERFACE,Answer.MECHANISM,Answer.question0,Answer.question1,Answer.question10,Answer.question11,Answer.question12,Answer.question13,Answer.question14,Answer.question15,Answer.question16,Answer.question17,Answer.question18,Answer.question19,Answer.question2,Answer.question20,Answer.question21,Answer.question22,Answer.question23,Answer.question24,Answer.question3,Answer.question4,Answer.question5,Answer.question6,Answer.question7,Answer.question8,Answer.question9,Answer.trueAnswer0,Answer.trueAnswer1,Answer.trueAnswer10,Answer.trueAnswer11,Answer.trueAnswer12,Answer.trueAnswer13,Answer.trueAnswer14,Answer.trueAnswer15,Answer.trueAnswer16,Answer.trueAnswer17,Answer.trueAnswer18,Answer.trueAnswer19,Answer.trueAnswer2,Answer.trueAnswer20,Answer.trueAnswer21,Answer.trueAnswer22,Answer.trueAnswer23,Answer.trueAnswer24,Answer.trueAnswer3,Answer.trueAnswer4,Answer.trueAnswer5,Answer.trueAnswer6,Answer.trueAnswer7,Answer.trueAnswer8,Answer.trueAnswer9,Answer.answer0,Answer.answer1,Answer.answer10,Answer.answer11,Answer.answer12,Answer.answer13,Answer.answer14,Answer.answer15,Answer.answer16,Answer.answer17,Answer.answer18,Answer.answer19,Answer.answer2,Answer.answer20,Answer.answer21,Answer.answer22,Answer.answer23,Answer.answer24,Answer.answer3,Answer.answer4,Answer.answer5,Answer.answer6,Answer.answer7,Answer.answer8,Answer.answer9,Answer.comments
single-noskip,additive,nm9rf5ltug85eay/8,xzadddndcont63h/11,9v2qvj0b6ny4lrp/5,0xtz9sah11iwzfb/19,2e3tfgr5x7rfryb/9,wc3yesvzcawev2b/18,867rdbxwrn1tlom/13,zxvn4kcvil8onmd/6,c8vfeb66wb94r09/4,h53qagtbagigq4f/12,a9sdxr2f6l0ngql/24,ida8bqy4xp5417p/23,c39wrwcnjy60fx0/15,aqjoi7izpzp6acv/10,wx0obc7c8f6ce6w/16,lje1kpehfxsqxg6/3,c7557xr0oa9typw/22,9omx3hyvbsi6s4z/14,lgbjckfncok88u1/21,m5vgbt7e802e612/20,zi53rt5amlnlle4/0,0t7hyu660p7bja8/1,dfgcmyi9zlmzojy/2,6l8h1tv26zedant/7,p8x7qrx57foej2v/17,Tamil,Hindi,Thai,Chinese,Hindi,Chinese,Latin,Tamil,Thai,Hindi,Japanese,Japanese,Hebrew,Hindi,Hebrew,Thai,Japanese,Latin,Japanese,Chinese,Russian,Russian,Russian,Tamil,Hebrew,Tamil,Hindi,Thai,Chinese,Hindi,Chinese,Latin,Tamil,Hebrew,Hindi,Japanese,Japanese,Hebrew,Hindi,Hebrew,Tamil,Japanese,Latin,Japanese,Chinese,Russian,Russian,Latin,Tamil,Hebrew,"Last one was french, not Latin. 8th one was Greek, not latin. No options were given for French or Greek."
subset,none,a9sdxr2f6l0ngql/24,ida8bqy4xp5417p/23,m5vgbt7e802e612/20,dfgcmyi9zlmzojy/2,9omx3hyvbsi6s4z/14,nm9rf5ltug85eay/8,lgbjckfncok88u1/21,aqjoi7izpzp6acv/10,zxvn4kcvil8onmd/6,c7557xr0oa9typw/22,0t7hyu660p7bja8/1,6l8h1tv26zedant/7,p8x7qrx57foej2v/17,zi53rt5amlnlle4/0,wx0obc7c8f6ce6w/16,c8vfeb66wb94r09/4,0xtz9sah11iwzfb/19,c39wrwcnjy60fx0/15,2e3tfgr5x7rfryb/9,lje1kpehfxsqxg6/3,h53qagtbagigq4f/12,xzadddndcont63h/11,wc3yesvzcawev2b/18,9v2qvj0b6ny4lrp/5,867rdbxwrn1tlom/13,Japanese,Japanese,Chinese,Russian,Latin,Tamil,Japanese,Hindi,Tamil,Japanese,Russian,Tamil,Hebrew,Russian,Hebrew,Thai,Chinese,Hebrew,Hindi,Thai,Hindi,Hindi,Chinese,Thai,Latin,Chinese|Hebrew|Japanese|Thai|Tamil|Latin,Chinese|Japanese|Thai,Chinese|Russian|Japanese,Hebrew|Russian|Thai,Russian|Latin,Tamil,Chinese|Japanese|Thai,Hindi,Tamil,Chinese|Japanese,Russian|Latin,Tamil,Hebrew|Thai|Latin,Hebrew|Russian,Chinese|Japanese|Thai,Chinese|Russian|Japanese|Thai,Chinese|Japanese,Chinese|Japanese|Thai|Latin,Hindi,Hebrew|Thai|Latin,Hindi,Hindi,Chinese|Japanese|Thai,Hebrew|Thai|Latin,Russian,
single-skip,multiplicative,9v2qvj0b6ny4lrp/5,6l8h1tv26zedant/7,c8vfeb66wb94r09/4,aqjoi7izpzp6acv/10,zxvn4kcvil8onmd/6,wc3yesvzcawev2b/18,h53qagtbagigq4f/12,lgbjckfncok88u1/21,ida8bqy4xp5417p/23,867rdbxwrn1tlom/13,0xtz9sah11iwzfb/19,a9sdxr2f6l0ngql/24,p8x7qrx57foej2v/17,zi53rt5amlnlle4/0,2e3tfgr5x7rfryb/9,m5vgbt7e802e612/20,xzadddndcont63h/11,0t7hyu660p7bja8/1,lje1kpehfxsqxg6/3,wx0obc7c8f6ce6w/16,nm9rf5ltug85eay/8,dfgcmyi9zlmzojy/2,c7557xr0oa9typw/22,c39wrwcnjy60fx0/15,9omx3hyvbsi6s4z/14,Thai,Tamil,Thai,Hindi,Tamil,Chinese,Hindi,Japanese,Japanese,Latin,Chinese,Japanese,Hebrew,Russian,Hindi,Chinese,Hindi,Russian,Thai,Hebrew,Tamil,Russian,Japanese,Hebrew,Latin,Hebrew,Skip,Thai,Hebrew,Skip,Japanese,Hebrew,Chinese,Chinese,Russian,Japanese,Japanese,Hebrew,Russian,Skip,Chinese,Russian,Russian,Skip,Chinese,Skip,Russian,Japanese,Hebrew,Hindi,
subset,multiplicative,m5vgbt7e802e612/20,dfgcmyi9zlmzojy/2,aqjoi7izpzp6acv/10,867rdbxwrn1tlom/13,zxvn4kcvil8onmd/6,2e3tfgr5x7rfryb/9,c39wrwcnjy60fx0/15,wc3yesvzcawev2b/18,c8vfeb66wb94r09/4,lgbjckfncok88u1/21,a9sdxr2f6l0ngql/24,nm9rf5ltug85eay/8,h53qagtbagigq4f/12,9omx3hyvbsi6s4z/14,9v2qvj0b6ny4lrp/5,c7557xr0oa9typw/22,xzadddndcont63h/11,lje1kpehfxsqxg6/3,6l8h1tv26zedant/7,0xtz9sah11iwzfb/19,ida8bqy4xp5417p/23,wx0obc7c8f6ce6w/16,0t7hyu660p7bja8/1,p8x7qrx57foej2v/17,zi53rt5amlnlle4/0,Chinese,Russian,Hindi,Latin,Tamil,Hindi,Hebrew,Chinese,Thai,Japanese,Japanese,Tamil,Hindi,Latin,Thai,Japanese,Hindi,Thai,Tamil,Chinese,Japanese,Hebrew,Russian,Hebrew,Russian,Japanese|Thai|Chinese,Russian|Latin|Hebrew,Russian|Latin|Hebrew,Russian|Latin,Hindi,Russian|Hebrew,Russian|Latin|Hebrew,Japanese|Thai|Chinese,Russian|Hebrew,Japanese|Thai|Chinese,Japanese|Thai|Chinese,Russian|Latin|Tamil|Hebrew,Russian|Hebrew,Latin|Hindi|Hebrew,Russian|Tamil|Hindi,Japanese|Thai|Chinese,Japanese|Thai|Chinese,Russian|Hebrew,Russian|Hindi|Hebrew,Japanese|Thai|Chinese,Japanese|Thai|Chinese,Latin|Hindi|Hebrew,Russian|Latin|Hebrew,Russian|Hindi|Hebrew,Russian|Hebrew,
subset,none,ida8bqy4xp5417p/23,0t7hyu660p7bja8/1,xzadddndcont63h/11,dfgcmyi9zlmzojy/2,zi53rt5amlnlle4/0,wx0obc7c8f6ce6w/16,867rdbxwrn1tlom/13,nm9rf5ltug85eay/8,m5vgbt7e802e612/20,6l8h1tv26zedant/7,0xtz9sah11iwzfb/19,c8vfeb66wb94r09/4,wc3yesvzcawev2b/18,h53qagtbagigq4f/12,a9sdxr2f6l0ngql/24,9v2qvj0b6ny4lrp/5,c7557xr0oa9typw/22,aqjoi7izpzp6acv/10,zxvn4kcvil8onmd/6,lje1kpehfxsqxg6/3,lgbjckfncok88u1/21,9omx3hyvbsi6s4z/14,p8x7qrx57foej2v/17,2e3tfgr5x7rfryb/9,c39wrwcnjy60fx0/15,Japanese,Russian,Hindi,Russian,Russian,Hebrew,Latin,Tamil,Chinese,Tamil,Chinese,Thai,Chinese,Hindi,Japanese,Thai,Japanese,Hindi,Tamil,Thai,Japanese,Latin,Hebrew,Hindi,Hebrew,Chinese|Japanese|Thai,Latin,Latin|Japanese,Latin,Russian,Russian|Hebrew,Russian|Hebrew,Tamil,Chinese|Japanese|Thai,Tamil,Chinese|Japanese|Thai,Hebrew,Chinese,Tamil,Chinese|Japanese|Thai,Hebrew,Chinese|Japanese|Thai,Hindi,Tamil,Hebrew,Chinese|Japanese|Thai,Russian,Latin,Hindi,Hebrew,
single-noskip,additive,wx0obc7c8f6ce6w/16,aqjoi7izpzp6acv/10,867rdbxwrn1tlom/13,m5vgbt7e802e612/20,lgbjckfncok88u1/21,zxvn4kcvil8onmd/6,nm9rf5ltug85eay/8,0xtz9sah11iwzfb/19,h53qagtbagigq4f/12,a9sdxr2f6l0ngql/24,9v2qvj0b6ny4lrp/5,wc3yesvzcawev2b/18,6l8h1tv26zedant/7,lje1kpehfxsqxg6/3,2e3tfgr5x7rfryb/9,c39wrwcnjy60fx0/15,xzadddndcont63h/11,c7557xr0oa9typw/22,c8vfeb66wb94r09/4,9omx3hyvbsi6s4z/14,p8x7qrx57foej2v/17,ida8bqy4xp5417p/23,zi53rt5amlnlle4/0,dfgcmyi9zlmzojy/2,0t7hyu660p7bja8/1,Hebrew,Hindi,Latin,Chinese,Japanese,Tamil,Tamil,Chinese,Hindi,Japanese,Thai,Chinese,Tamil,Thai,Hindi,Hebrew,Hindi,Japanese,Thai,Latin,Hebrew,Japanese,Russian,Russian,Russian,Hebrew,Hindi,Latin,Japanese,Chinese,Tamil,Tamil,Japanese,Hindi,Chinese,Thai,Chinese,Tamil,Thai,Hindi,Hebrew,Hindi,Japanese,Thai,Latin,Hebrew,Chinese,Russian,Russian,Russian,amazing task
subset,none,9v2qvj0b6ny4lrp/5,lje1kpehfxsqxg6/3,dfgcmyi9zlmzojy/2,c39wrwcnjy60fx0/15,aqjoi7izpzp6acv/10,c7557xr0oa9typw/22,ida8bqy4xp5417p/23,0xtz9sah11iwzfb/19,m5vgbt7e802e612/20,2e3tfgr5x7rfryb/9,6l8h1tv26zedant/7,zi53rt5amlnlle4/0,lgbjckfncok88u1/21,h53qagtbagigq4f/12,zxvn4kcvil8onmd/6,a9sdxr2f6l0ngql/24,nm9rf5ltug85eay/8,wc3yesvzcawev2b/18,p8x7qrx57foej2v/17,xzadddndcont63h/11,0t7hyu660p7bja8/1,867rdbxwrn1tlom/13,c8vfeb66wb94r09/4,wx0obc7c8f6ce6w/16,9omx3hyvbsi6s4z/14,Thai,Thai,Russian,Hebrew,Hindi,Japanese,Japanese,Chinese,Chinese,Hindi,Tamil,Russian,Japanese,Hindi,Tamil,Japanese,Tamil,Chinese,Hebrew,Hindi,Russian,Latin,Thai,Hebrew,Latin,Thai,Thai,Latin,Thai,Hindi,Chinese|Japanese,Chinese|Japanese,Chinese,Chinese|Japanese,Hindi,Tamil,Russian,Chinese|Japanese,Hindi,Thai,Chinese,Tamil,Chinese|Japanese,Hebrew,Hindi,Russian,Russian,Thai,Hebrew,Latin,
single-noskip,additive,h53qagtbagigq4f/12,9v2qvj0b6ny4lrp/5,zxvn4kcvil8onmd/6,a9sdxr2f6l0ngql/24,c39wrwcnjy60fx0/15,6l8h1tv26zedant/7,c8vfeb66wb94r09/4,xzadddndcont63h/11,nm9rf5ltug85eay/8,0t7hyu660p7bja8/1,867rdbxwrn1tlom/13,aqjoi7izpzp6acv/10,lgbjckfncok88u1/21,lje1kpehfxsqxg6/3,wc3yesvzcawev2b/18,9omx3hyvbsi6s4z/14,p8x7qrx57foej2v/17,dfgcmyi9zlmzojy/2,0xtz9sah11iwzfb/19,zi53rt5amlnlle4/0,ida8bqy4xp5417p/23,m5vgbt7e802e612/20,c7557xr0oa9typw/22,wx0obc7c8f6ce6w/16,2e3tfgr5x7rfryb/9,Hindi,Thai,Tamil,Japanese,Hebrew,Tamil,Thai,Hindi,Tamil,Russian,Latin,Hindi,Japanese,Thai,Chinese,Latin,Hebrew,Russian,Chinese,Russian,Japanese,Chinese,Japanese,Hebrew,Hindi,Hindi,Thai,Hindi,Japanese,Hebrew,Tamil,Hebrew,Hindi,Tamil,Russian,Latin,Tamil,Chinese,Tamil,Chinese,Latin,Hebrew,Russian,Chinese,Russian,Chinese,Chinese,Chinese,Hebrew,Tamil,
subset,none,2e3tfgr5x7rfryb/9,zxvn4kcvil8onmd/6,zi53rt5amlnlle4/0,a9sdxr2f6l0ngql/24,9omx3hyvbsi6s4z/14,xzadddndcont63h/11,c39wrwcnjy60fx0/15,nm9rf5ltug85eay/8,c8vfeb66wb94r09/4,p8x7qrx57foej2v/17,0t7hyu660p7bja8/1,6l8h1tv26zedant/7,9v2qvj0b6ny4lrp/5,0xtz9sah11iwzfb/19,wx0obc7c8f6ce6w/16,wc3yesvzcawev2b/18,c7557xr0oa9typw/22,lgbjckfncok88u1/21,aqjoi7izpzp6acv/10,h53qagtbagigq4f/12,867rdbxwrn1tlom/13,dfgcmyi9zlmzojy/2,m5vgbt7e802e612/20,lje1kpehfxsqxg6/3,ida8bqy4xp5417p/23,Hindi,Tamil,Russian,Japanese,Latin,Hindi,Hebrew,Tamil,Thai,Hebrew,Russian,Tamil,Thai,Chinese,Hebrew,Chinese,Japanese,Japanese,Hindi,Hindi,Latin,Russian,Chinese,Thai,Japanese,Hebrew|Russian,Tamil|Hindi,Hebrew|Russian,Chinese|Japanese,Latin,Tamil|Hindi,Tamil|Hindi,Tamil|Hindi,Hebrew|Russian,Thai,Hebrew|Russian,Tamil|Hindi,Tamil|Hindi,Chinese|Japanese,Hindi|Thai,Chinese|Japanese,Chinese|Japanese,Chinese|Japanese,Hebrew|Russian,Tamil|Hindi,Latin,Hebrew|Russian,Chinese|Japanese,Tamil|Hindi,Chinese|Japanese,
subset,none,wx0obc7c8f6ce6w/16,ida8bqy4xp5417p/23,a9sdxr2f6l0ngql/24,m5vgbt7e802e612/20,c7557xr0oa9typw/22,dfgcmyi9zlmzojy/2,h53qagtbagigq4f/12,9omx3hyvbsi6s4z/14,2e3tfgr5x7rfryb/9,zxvn4kcvil8onmd/6,0t7hyu660p7bja8/1,0xtz9sah11iwzfb/19,nm9rf5ltug85eay/8,zi53rt5amlnlle4/0,p8x7qrx57foej2v/17,c39wrwcnjy60fx0/15,lje1kpehfxsqxg6/3,9v2qvj0b6ny4lrp/5,xzadddndcont63h/11,aqjoi7izpzp6acv/10,lgbjckfncok88u1/21,wc3yesvzcawev2b/18,867rdbxwrn1tlom/13,c8vfeb66wb94r09/4,6l8h1tv26zedant/7,Hebrew,Japanese,Japanese,Chinese,Japanese,Russian,Hindi,Latin,Hindi,Tamil,Russian,Chinese,Tamil,Russian,Hebrew,Hebrew,Thai,Thai,Hindi,Hindi,Japanese,Chinese,Latin,Thai,Tamil,Hebrew|Latin|Tamil,Thai|Chinese|Japanese,Thai|Chinese|Hebrew,Thai|Chinese|Japanese,Thai|Chinese|Japanese,Latin|Russian,Hindi,Latin|Russian,Hindi,Tamil,Latin|Russian,Thai|Chinese|Japanese,Hebrew|Tamil,Chinese|Latin|Russian,Thai|Chinese|Hebrew|Japanese,Thai|Chinese|Hebrew|Latin|Russian|Tamil|Japanese,Thai|Chinese|Hebrew|Japanese,Thai|Chinese|Hebrew|Tamil|Japanese,Hindi,Hindi,Hebrew|Latin,Chinese|Hebrew|Russian|Japanese,Latin|Russian,Hebrew|Tamil,Chinese|Hebrew|Tamil,Thanks
single-skip,multiplicative,zi53rt5amlnlle4/0,lgbjckfncok88u1/21,xzadddndcont63h/11,6l8h1tv26zedant/7,c39wrwcnjy60fx0/15,9v2qvj0b6ny4lrp/5,867rdbxwrn1tlom/13,h53qagtbagigq4f/12,0xtz9sah11iwzfb/19,c8vfeb66wb94r09/4,dfgcmyi9zlmzojy/2,2e3tfgr5x7rfryb/9,wx0obc7c8f6ce6w/16,p8x7qrx57foej2v/17,m5vgbt7e802e612/20,a9sdxr2f6l0ngql/24,ida8bqy4xp5417p/23,aqjoi7izpzp6acv/10,9omx3hyvbsi6s4z/14,wc3yesvzcawev2b/18,0t7hyu660p7bja8/1,zxvn4kcvil8onmd/6,c7557xr0oa9typw/22,nm9rf5ltug85eay/8,lje1kpehfxsqxg6/3,Russian,Japanese,Hindi,Tamil,Hebrew,Thai,Latin,Hindi,Chinese,Thai,Russian,Hindi,Hebrew,Hebrew,Chinese,Japanese,Japanese,Hindi,Latin,Chinese,Russian,Tamil,Japanese,Tamil,Thai,Russian,Japanese,Hindi,Tamil,Skip,Thai,Skip,Hindi,Chinese,Thai,Russian,Hindi,Hebrew,Hebrew,Chinese,Japanese,Chinese,Hindi,Latin,Chinese,Russian,Tamil,Japanese,Tamil,Russian,
subset,multiplicative,2e3tfgr5x7rfryb/9,wc3yesvzcawev2b/18,6l8h1tv26zedant/7,wx0obc7c8f6ce6w/16,aqjoi7izpzp6acv/10,zi53rt5amlnlle4/0,0t7hyu660p7bja8/1,c8vfeb66wb94r09/4,9omx3hyvbsi6s4z/14,xzadddndcont63h/11,c7557xr0oa9typw/22,ida8bqy4xp5417p/23,zxvn4kcvil8onmd/6,867rdbxwrn1tlom/13,a9sdxr2f6l0ngql/24,0xtz9sah11iwzfb/19,c39wrwcnjy60fx0/15,m5vgbt7e802e612/20,h53qagtbagigq4f/12,lgbjckfncok88u1/21,lje1kpehfxsqxg6/3,dfgcmyi9zlmzojy/2,9v2qvj0b6ny4lrp/5,p8x7qrx57foej2v/17,nm9rf5ltug85eay/8,Hindi,Chinese,Tamil,Hebrew,Hindi,Russian,Russian,Thai,Latin,Hindi,Japanese,Japanese,Tamil,Latin,Japanese,Chinese,Hebrew,Chinese,Hindi,Japanese,Thai,Russian,Thai,Hebrew,Tamil,Hindi,Japanese|Thai|Chinese,Tamil,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Thai|Hebrew|Hindi|Russian,Latin|Hebrew|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Hindi,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Tamil,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Hindi,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Latin|Thai|Hebrew|Chinese|Russian,Latin|Hebrew|Russian,Japanese|Latin|Thai|Hebrew|Chinese|Russian,Hindi|Tamil,very interesting survey.
subset,none,p8x7qrx57foej2v/17,lje1kpehfxsqxg6/3,867rdbxwrn1tlom/13,xzadddndcont63h/11,0t7hyu660p7bja8/1,m5vgbt7e802e612/20,c39wrwcnjy60fx0/15,nm9rf5ltug85eay/8,lgbjckfncok88u1/21,6l8h1tv26zedant/7,a9sdxr2f6l0ngql/24,0xtz9sah11iwzfb/19,c7557xr0oa9typw/22,ida8bqy4xp5417p/23,9v2qvj0b6ny4lrp/5,c8vfeb66wb94r09/4,wc3yesvzcawev2b/18,wx0obc7c8f6ce6w/16,zxvn4kcvil8onmd/6,9omx3hyvbsi6s4z/14,2e3tfgr5x7rfryb/9,zi53rt5amlnlle4/0,h53qagtbagigq4f/12,aqjoi7izpzp6acv/10,dfgcmyi9zlmzojy/2,Hebrew,Thai,Latin,Hindi,Russian,Chinese,Hebrew,Tamil,Japanese,Tamil,Japanese,Chinese,Japanese,Japanese,Thai,Thai,Chinese,Hebrew,Tamil,Latin,Hindi,Russian,Hindi,Hindi,Russian,Hebrew|Hindi|Tamil,Hindi|Russian|Tamil,Latin,Hindi|Thai|Tamil,Russian,Japanese|Chinese,Hindi|Russian|Thai|Tamil,Hebrew|Hindi|Thai|Tamil,Japanese,Hindi|Thai|Tamil,Japanese,Japanese|Chinese,Japanese,Japanese|Chinese,Hebrew|Hindi|Thai|Tamil,Hindi|Thai|Tamil,Japanese|Chinese,Hebrew|Latin|Hindi|Russian,Hindi|Russian|Tamil,Hebrew|Latin|Russian,Hindi|Thai|Tamil,Russian,Hindi|Russian|Thai|Tamil,Hindi|Thai|Tamil,Hebrew|Latin|Russian,This was way harder than I thought it would be. I hope I got them right! :) Thanks for the opportunity.
single-noskip,additive,9omx3hyvbsi6s4z/14,wx0obc7c8f6ce6w/16,lgbjckfncok88u1/21,dfgcmyi9zlmzojy/2,867rdbxwrn1tlom/13,nm9rf5ltug85eay/8,2e3tfgr5x7rfryb/9,c7557xr0oa9typw/22,9v2qvj0b6ny4lrp/5,a9sdxr2f6l0ngql/24,h53qagtbagigq4f/12,ida8bqy4xp5417p/23,wc3yesvzcawev2b/18,m5vgbt7e802e612/20,zxvn4kcvil8onmd/6,zi53rt5amlnlle4/0,6l8h1tv26zedant/7,aqjoi7izpzp6acv/10,c8vfeb66wb94r09/4,c39wrwcnjy60fx0/15,0xtz9sah11iwzfb/19,p8x7qrx57foej2v/17,lje1kpehfxsqxg6/3,0t7hyu660p7bja8/1,xzadddndcont63h/11,Latin,Hebrew,Japanese,Russian,Latin,Tamil,Hindi,Japanese,Thai,Japanese,Hindi,Japanese,Chinese,Chinese,Tamil,Russian,Tamil,Hindi,Thai,Hebrew,Chinese,Hebrew,Thai,Russian,Hindi,Latin,Hebrew,Chinese,Russian,Latin,Tamil,Hindi,Japanese,Thai,Japanese,Hindi,Chinese,Chinese,Chinese,Tamil,Thai,Tamil,Hindi,Thai,Russian,Chinese,Thai,Tamil,Russian,Hindi,
subset,none,867rdbxwrn1tlom/13,9v2qvj0b6ny4lrp/5,c39wrwcnjy60fx0/15,2e3tfgr5x7rfryb/9,dfgcmyi9zlmzojy/2,wx0obc7c8f6ce6w/16,zi53rt5amlnlle4/0,6l8h1tv26zedant/7,xzadddndcont63h/11,zxvn4kcvil8onmd/6,m5vgbt7e802e612/20,aqjoi7izpzp6acv/10,lgbjckfncok88u1/21,h53qagtbagigq4f/12,0t7hyu660p7bja8/1,a9sdxr2f6l0ngql/24,0xtz9sah11iwzfb/19,nm9rf5ltug85eay/8,9omx3hyvbsi6s4z/14,wc3yesvzcawev2b/18,ida8bqy4xp5417p/23,c8vfeb66wb94r09/4,lje1kpehfxsqxg6/3,p8x7qrx57foej2v/17,c7557xr0oa9typw/22,Latin,Thai,Hebrew,Hindi,Russian,Hebrew,Russian,Tamil,Hindi,Tamil,Chinese,Hindi,Japanese,Hindi,Russian,Japanese,Chinese,Tamil,Latin,Chinese,Japanese,Thai,Thai,Hebrew,Japanese,Hebrew|Latin,Hebrew|Tamil,Hindi|Hebrew,Hindi,Russian|Japanese|Thai,Hebrew,Hebrew|Latin,Tamil,Hindi,Tamil,Chinese,Hindi,Japanese|Thai|Chinese,Hindi,Russian|Thai|Hebrew,Japanese|Thai|Hebrew,Chinese,Hebrew,Russian|Japanese|Thai,Japanese|Thai|Chinese,Russian|Japanese|Hindi,Hindi,Japanese|Thai,Chinese,Chinese,
subset,multiplicative,9v2qvj0b6ny4lrp/5,0xtz9sah11iwzfb/19,ida8bqy4xp5417p/23,c39wrwcnjy60fx0/15,m5vgbt7e802e612/20,h53qagtbagigq4f/12,nm9rf5ltug85eay/8,wx0obc7c8f6ce6w/16,lgbjckfncok88u1/21,zi53rt5amlnlle4/0,aqjoi7izpzp6acv/10,0t7hyu660p7bja8/1,dfgcmyi9zlmzojy/2,9omx3hyvbsi6s4z/14,p8x7qrx57foej2v/17,a9sdxr2f6l0ngql/24,wc3yesvzcawev2b/18,zxvn4kcvil8onmd/6,c8vfeb66wb94r09/4,867rdbxwrn1tlom/13,6l8h1tv26zedant/7,c7557xr0oa9typw/22,lje1kpehfxsqxg6/3,2e3tfgr5x7rfryb/9,xzadddndcont63h/11,Thai,Chinese,Japanese,Hebrew,Chinese,Hindi,Tamil,Hebrew,Japanese,Russian,Hindi,Russian,Russian,Latin,Hebrew,Japanese,Chinese,Tamil,Thai,Latin,Tamil,Japanese,Thai,Hindi,Hindi,Thai,Russian|Japanese,Chinese|Japanese,Hebrew,Chinese|Japanese,Hindi,Tamil,Hebrew|Russian,Chinese|Japanese,Russian,Hindi,Russian,Russian,Latin,Hebrew,Chinese|Japanese,Chinese|Japanese,Tamil,Thai,Hebrew|Latin,Tamil,Chinese|Japanese,Hebrew|Tamil,Hindi,Hindi,
subset,multiplicative,9omx3hyvbsi6s4z/14,xzadddndcont63h/11,aqjoi7izpzp6acv/10,lgbjckfncok88u1/21,ida8bqy4xp5417p/23,0t7hyu660p7bja8/1,lje1kpehfxsqxg6/3,867rdbxwrn1tlom/13,wc3yesvzcawev2b/18,h53qagtbagigq4f/12,m5vgbt7e802e612/20,c8vfeb66wb94r09/4,zxvn4kcvil8onmd/6,p8x7qrx57foej2v/17,2e3tfgr5x7rfryb/9,9v2qvj0b6ny4lrp/5,0xtz9sah11iwzfb/19,c39wrwcnjy60fx0/15,dfgcmyi9zlmzojy/2,wx0obc7c8f6ce6w/16,nm9rf5ltug85eay/8,c7557xr0oa9typw/22,6l8h1tv26zedant/7,zi53rt5amlnlle4/0,a9sdxr2f6l0ngql/24,Latin,Hindi,Hindi,Japanese,Japanese,Russian,Thai,Latin,Chinese,Hindi,Chinese,Thai,Tamil,Hebrew,Hindi,Thai,Chinese,Hebrew,Russian,Hebrew,Tamil,Japanese,Tamil,Russian,Japanese,Hebrew|Latin,Hindi,Hindi,Japanese|Chinese,Japanese|Chinese,Russian,Thai,Hebrew|Hindi,Japanese|Chinese,Hindi,Japanese|Chinese,Hindi,Tamil|Hindi,Hindi,Hebrew|Hindi,Hebrew|Hindi,Japanese|Chinese,Hebrew|Hindi,Hebrew|Russian,Japanese|Thai|Chinese|Hindi,Hebrew|Tamil|Hindi,Japanese|Chinese,Thai,Russian,Japanese|Chinese,
subset,none,c7557xr0oa9typw/22,lje1kpehfxsqxg6/3,nm9rf5ltug85eay/8,a9sdxr2f6l0ngql/24,9v2qvj0b6ny4lrp/5,aqjoi7izpzp6acv/10,c8vfeb66wb94r09/4,9omx3hyvbsi6s4z/14,2e3tfgr5x7rfryb/9,0t7hyu660p7bja8/1,dfgcmyi9zlmzojy/2,0xtz9sah11iwzfb/19,h53qagtbagigq4f/12,lgbjckfncok88u1/21,c39wrwcnjy60fx0/15,m5vgbt7e802e612/20,867rdbxwrn1tlom/13,ida8bqy4xp5417p/23,wx0obc7c8f6ce6w/16,zi53rt5amlnlle4/0,p8x7qrx57foej2v/17,xzadddndcont63h/11,zxvn4kcvil8onmd/6,wc3yesvzcawev2b/18,6l8h1tv26zedant/7,Japanese,Thai,Tamil,Japanese,Thai,Hindi,Thai,Latin,Hindi,Russian,Russian,Chinese,Hindi,Japanese,Hebrew,Chinese,Latin,Japanese,Hebrew,Russian,Hebrew,Hindi,Tamil,Chinese,Tamil,Thai|Chinese|Hindi|Hebrew,Tamil|Hebrew|Russian,Thai|Chinese|Hebrew,Chinese|Japanese,Thai|Chinese,Thai|Chinese|Hebrew|Russian,Chinese|Hindi|Japanese,Thai|Chinese,Thai|Tamil,Hebrew|Russian,Thai|Tamil|Russian,Chinese,Chinese|Japanese,Chinese|Tamil|Japanese,Thai|Chinese,Chinese|Tamil|Japanese,Thai|Hindi,Chinese|Japanese|Hebrew,Thai|Chinese,Chinese|Hindi|Hebrew|Russian,Thai|Hindi|Tamil,Chinese|Hindi|Japanese,Thai|Chinese|Hindi|Russian,Chinese|Hindi|Japanese,Thai|Chinese|Tamil,
